# Index of migration data sources. Rendered from scripts/migration/sources.py; do not edit by hand.
# 'metrics' and 'limits' hold pipe-separated lists.
id	name	family	publisher	unit	coverage	years	cadence	access	fmt	api	licence	network	metrics	limits	url	checked
twitter-geo	Geotagged social media migration estimates	digital	Academic (Zagheni, Weber, State and others)	user trajectory aggregated to country pairs and months	Varies by study; global in principle	2011 onward, study-specific windows	Not maintained; replication datasets only	Replication packages; raw platform data increasingly closed	CSV	Platform APIs largely closed since 2023	Varies	Directed monthly migration network at high frequency	estimated migration rate | seasonality | post-shock displacement response within weeks	The platform APIs that made this work possible are now closed or priced out of reach. New collection is mostly not feasible. | Geotagging is a small and unrepresentative share of users. | Distinguishing migration from tourism and business travel needs an arbitrary dwell-time threshold. | Bias correction requires an external ground truth, which returns you to DESA.	https://www.demographic-research.org/	not fetched
gdelt	GDELT Global Knowledge Graph	digital	GDELT Project	news event and article, every 15 minutes	Global, 100+ languages	1979 onward for events; GKG from 2013	Every 15 minutes	Open; BigQuery public dataset and raw file downloads	CSV, BigQuery	Yes	Free with attribution	Actor-to-actor event network, and a country co-mention network. Migration-related events can be filtered by CAMEO code and theme (REFUGEES, MIGRATION, BORDER).	event actors, type, tone and Goldstein score | themes including refugee and migration codes | geographic mentions | article volume and tone by country	Media attention, not events. Volume tracks newsroom capacity. | Automated actor and event coding is noisy; published error rates for CAMEO coding are high enough to matter. | Deduplication of the same story across outlets is imperfect, so volume spikes can be one story reprinted. | English-language sources dominate despite the multilingual claim.	https://www.gdeltproject.org/	not fetched
wikidata-orgs	Wikipedia and Wikidata migration organisations (this repo)	actors	Harvested here from Wikimedia projects	organisation article, with country, type and founding date	Global, limited to organisations with an English Wikipedia article	Snapshot; founding dates span the whole history of each organisation	Re-runnable at any time via scripts/migration/run_all.py	Free APIs, no key, User-Agent header required	TSV produced by this repo; JSON from the APIs	Yes: MediaWiki action API and the Wikidata SPARQL endpoint	CC BY-SA for Wikipedia text, CC0 for Wikidata claims	Directed article-link network among organisations, plus a typed Wikidata tie network (member of, parent organisation, affiliation).	organisation type: IGO, NGO, charity, government agency, research institute, diaspora association | country of the organisation and how it was inferred | inception and dissolution dates | number of Wikipedia language editions as a reach proxy | the categories the organisation was found in	Wikipedia notability is the selection rule. Anglophone, formal and long-lived organisations are over-represented; grassroots and non-English-speaking ones are missing. | An article link is not a relationship. It can mean funding, opposition, a shared founder or a passing mention. | Country attribution falls back to the category name when Wikidata is silent, which is weaker evidence. The rule used is recorded per row. | Category membership on Wikipedia is inconsistent and editor-dependent, so the recall of any single crawl is unknown.	https://www.wikidata.org/	crawl run 2026-09-16 from 25 seed categories to depth 4
uia-yearbook	Yearbook of International Organizations	actors	Union of International Associations	international organisation profile	~75,000 organisations in 300 countries	1908 onward	Annual	Subscription database; some institutional access	Web database, limited export	No	Proprietary	Organisation-to-organisation relations and shared memberships. The most complete organisational network in existence for this domain, and the hardest to get at.	organisation type and aims | founding date | members by country | relations with other organisations | consultative status with UN bodies	Paywalled, with export restrictions that make bulk network construction difficult even with access. | Self-reported profiles, updated when organisations respond. | Coverage of national NGOs is thin; the focus is international bodies.	https://uia.org/yearbook	not fetched
acled-ucdp	ACLED and UCDP conflict event data	actors	ACLED; Uppsala Conflict Data Program	conflict event with date, actors, location and fatalities	Global (ACLED); global (UCDP GED)	ACLED 1997 onward by region; UCDP GED 1989 onward	ACLED weekly; UCDP annual with a monthly candidate release	Free registration for ACLED; open download for UCDP	CSV, API	Yes for both	ACLED: free for non-commercial with attribution. UCDP: CC BY.	Actor-to-actor conflict network, and geolocated events that join to displacement data as the driver side of the story.	event type, sub-event type, actors and interaction code | fatalities | precise coordinates and geoprecision flag | civilian targeting	Media-sourced, so the same attention bias as GDELT, moderated by human coding. | ACLED and UCDP disagree on totals for the same conflicts because of different inclusion rules. Pick one and say which. | Fatality figures in contested conflicts are estimates with wide ranges.	https://acleddata.com/	not fetched
emdat	EM-DAT International Disaster Database	actors	CRED, UCLouvain	disaster event: country, type, deaths, affected, damage	Global	1900 onward, reliable from 1970s	Continuous	Free registration for academic use	XLSX, CSV	Limited	Free for non-commercial research	Not a network. The environmental driver side, joined by country-year.	disaster type and subtype | deaths, injured, affected, homeless | economic damage | start and end dates | affected subregions	Entry threshold of ten deaths or a hundred affected excludes slow-onset events, which are the ones most linked to migration. | Reporting improves over time, so a rising trend is partly a reporting artefact. | 'Affected' is defined inconsistently across sources.	https://www.emdat.be/	not fetched
historical-census	Historical census and passenger records	history	IPUMS, national archives, Ellis Island Foundation	individual record or ship manifest line	Mostly Europe and the Americas	1820s onward	Static digitisation projects	Mixed: IPUMS free with registration, genealogy sites commercial	CSV, fixed-width, scanned images with transcriptions	Partial	Mixed	Origin -> destination at individual level for the age of mass migration, which is the only period with near-complete individual coverage of a migration wave.	port of departure and arrival | declared last residence | age, occupation, literacy, money carried | name of contact at destination, which yields a real social network	Transcription errors in names and places are pervasive. | Coverage is where records survived and were digitised, which is a European and North Atlantic story. | Return migration is invisible in arrival records; roughly a third of arrivals in some corridors went home.	https://international.ipums.org/international/	not fetched
migration-data-portal	Migration Data Portal	portal	IOM Global Migration Data Analysis Centre	curated indicator listing and country profiles	Global	Current	Continuous	Open web	Web, some downloads	No	Free with attribution	Not data itself. The best single index of who publishes what, including the definitions and the caveats.	indicator definitions | country profiles | thematic overviews with source lists	A directory, not a repository. Everything still has to be fetched from the original publisher. | Some linked sources are stale.	https://www.migrationdataportal.org/	not fetched
mpi-datahub	Migration Policy Institute Data Hub	portal	Migration Policy Institute	curated tables and interactive maps	United States in depth; global and European summaries	Current with historical series	Continuous	Open web with XLSX downloads	XLSX, web	No	Free with attribution	Not a network. Derived tables, pre-cleaned, good for sanity checks.	immigrant population by state and metro area | unauthorised population estimates | refugee admissions | European asylum trends	Derived from ACS and official sources, so it inherits their limits and adds MPI's own modelling for unauthorised estimates. | US-centric. | Tables, not microdata.	https://www.migrationpolicy.org/programs/migration-data-hub	not fetched
hdx	Humanitarian Data Exchange	portal	UN OCHA Centre for Humanitarian Data	dataset records from hundreds of organisations	Global, crisis-focused	2014 onward	Continuous	Open, with an API and a Python client	CSV, XLSX, GeoJSON	Yes: CKAN API	Varies by dataset, mostly open	Not a network. The place to find displacement, needs assessment and population movement tracking data for a specific crisis.	IOM Displacement Tracking Matrix country datasets | population movement and flow monitoring | humanitarian needs by admin level | administrative boundaries and population rasters	Quality varies enormously between contributors. | Crisis datasets are snapshots that stop when the response ends. | Admin boundary and naming mismatches across datasets from the same country are the normal case, not the exception.	https://data.humdata.org/	not fetched
iom-dtm	IOM Displacement Tracking Matrix	portal	IOM	site, area or flow-monitoring point assessment	~90 countries in crisis	2004 onward, country-specific windows	Continuous per operation, from daily to quarterly	Open via dtm.iom.int and HDX, with an API	CSV, XLSX, API	Yes	Free with attribution	Flow monitoring records origin and intended destination at individual-journey level, which yields a real movement network inside crisis corridors.	displaced population by site and admin area | flow monitoring: travellers per day, origin, intended destination, reason for moving, means of transport | needs and vulnerabilities per site | returnee tracking	Operational data collected for response, not research. Methods change between rounds within the same country. | Flow monitoring points cover selected routes; coverage is purposive, not a sample. | Intended destination is stated intent at one moment on a journey. | Comparability across countries is poor by design.	https://dtm.iom.int/	not fetched
cepii-gravity	CEPII Gravity and GeoDist databases	gravity	CEPII	country pair x year	252 countries, complete pair matrix	1948-2021 for Gravity; GeoDist is time-invariant	Roughly every two years	Open download, no registration	CSV, Stata, R, parquet	No	Free for research with citation	A complete weighted pair matrix of everything except migration. This is the null model for a migration network: distance, adjacency, shared language, shared coloniser, shared currency.	population-weighted and simple bilateral distance | contiguity | common official language, common spoken language | colonial relationship ever, common coloniser, year of independence | regional trade agreement in force | common currency | GDP, population and area for both ends	Distance is between population-weighted centroids of the largest cities. For a migration question it is the wrong distance: what matters is route feasibility, not great-circle kilometres. | 'Common official language' misses lingua francas and misses the difference between an official language and one people speak. | The colonial variables are binary and recent-biased; they cannot express the intensity or the length of the relationship. | Ends in 2021 in the current release.	https://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp	not fetched
cepii-language	CEPII linguistic proximity (Melitz and Toubal)	gravity	CEPII	country pair, language overlap indices	195 countries	Time-invariant	Static	Open download	CSV, Stata	No	Free with citation	Weighted undirected language-overlap network. Explains a large share of migration ties that distance cannot.	common native language probability | common spoken language probability | linguistic proximity from language-tree distance | common official language	Built from country-level language shares, so it assumes random matching between two populations. | Static. It cannot capture English spreading as a second language. | Language trees measure genealogy, not mutual intelligibility.	https://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp	not fetched
cow-igo	Correlates of War Intergovernmental Organizations dataset	gravity	Correlates of War Project	country x organisation x year, membership	Global, ~530 intergovernmental organisations	1815-2014 (v3)	Periodic version releases	Open download	CSV, Stata	No	Free with citation	Bipartite country-organisation membership, which projects to a weighted country co-membership network. The obvious explanation to test against any migration clique you find.	membership status: full, associate, observer | organisation founding and dissolution years | co-membership counts per pair	Ends in 2014. | Membership is not integration. Sitting in the same body says nothing about whether the border is open. | Organisation coverage is skewed toward formal treaty bodies.	https://correlatesofwar.org/data-sets/igos/	not fetched
free-movement	Free movement protocols and regional mobility agreements	gravity	IOM, ILO, African Union, WTO RTA database	agreement x member states x entry-into-force date	Global, assembled from several partial inventories	1950s onward	Irregular; no single maintained register	Report annexes, the WTO RTA Information System, ILO inventories	PDF annexes, some XLSX; assembly required	WTO RTA-IS has a search interface, not a bulk API	Mixed, mostly free with attribution	Country blocs with legal free movement: EU/EEA plus Switzerland, the Nordic Passport Union, ECOWAS, EAC, CARICOM, MERCOSUR residence, GCC, the Trans-Tasman arrangement, the Common Travel Area. These are the cliques you would expect to find, so finding them is not a result.	right of entry, residence and work, separately | entry into force and any suspension | labour mobility provisions inside trade agreements	No single authoritative dataset exists. It has to be assembled by hand, and different inventories disagree on what counts as free movement. | Legal right and practical exercise diverge sharply. ECOWAS grants free movement on paper and border practice does not follow. | Suspensions (Schengen internal border controls since 2015) are recorded nowhere consistently.	https://rtais.wto.org/	not fetched
un-treaties	UN Treaty Collection ratification status	gravity	United Nations Office of Legal Affairs	country x treaty x action x date	Global	1945 onward	Continuous	Open web database; scraping needed for bulk	Web, HTML tables	No official API	UN terms	Bipartite country-treaty, projecting to a legal-alignment network.	1951 Refugee Convention and 1967 Protocol, with reservations | 1954 and 1961 statelessness conventions | 1990 Migrant Workers Convention (ICRMW) | Palermo Protocols on trafficking and smuggling | signature, ratification and reservation dates	Reservations matter enormously and are free text, so they resist coding. Several states ratified the Refugee Convention with a geographic limitation that changes what it means. | Ratification is not compliance. | No bulk download; the tables have to be scraped.	https://treaties.un.org/	not fetched
openflights	OpenFlights and OurAirports route data	competing	OpenFlights project; OurAirports	airline x source airport x destination airport	~67,000 routes, ~3,300 airlines, ~10,000 airports	Snapshot, last major refresh around 2014	OpenFlights is effectively frozen; OurAirports is community-updated	Open download from GitHub	CSV with coordinates	No	Open Database License	Directed city-pair and airport-pair network. The transport layer the betweenness question needs, and the only free one at airport level.	route existence by airline | airport coordinates, IATA and ICAO codes | number of stops | equipment type	Stale. The 2014 snapshot predates Gulf carrier expansion, COVID network cuts and every low-cost route since. Betweenness computed on it describes 2014. | Route existence, not capacity. A daily A380 and a weekly turboprop are the same edge. | Airport-level, so a multi-airport city needs manual aggregation before it answers a question about cities.	https://openflights.org/data.html	not fetched
opensky	OpenSky Network flight data	competing	OpenSky Network	individual flight: aircraft, origin and destination airport, times	Global where ADS-B receivers exist; dense in Europe and North America	2016 onward; the COVID-19 dataset covers 2019 onward continuously	Live, with monthly historical dumps	Free for research after registration; the COVID dataset is open on Zenodo	CSV, Parquet, Trino/Impala query access	Yes, REST and a Python client	CC BY for the published datasets	Directed airport-pair network with actual flight counts per day. This is the dataset that shows COVID collapsing and recovering, edge by edge, at daily resolution.	flights per airport pair per day | aircraft type and operator | departure and arrival times | full trajectories for a subset	Coverage follows volunteer receivers. Africa, central Asia and oceanic sectors are thin, which is exactly where some interesting routes are. | Origin and destination airports are inferred from trajectories, not filed plans, so short and low-altitude flights are missed. | Flights are not passengers. Cargo and repositioning flights are in there. | Large. The COVID dataset alone runs to tens of gigabytes.	https://opensky-network.org/datasets/	not fetched
comtrade-baci	UN Comtrade and CEPII BACI bilateral trade	competing	UN Statistics Division; CEPII	exporter x importer x product x year, value and quantity	Global, ~200 reporters	Comtrade from 1962; BACI from 1995	Annual, with monthly Comtrade series	Comtrade free tier with rate limits and a paid bulk tier; BACI free after registration	CSV, JSON; BACI is a single large CSV per year	Yes for Comtrade	UN terms; BACI free for research	Weighted directed trade network, complete and annual. The standard comparison: if migration centrality just reproduces trade centrality, there is nothing migration-specific to report.	export and import value by HS product code | quantities | BACI reconciles mirror discrepancies into one value	Comtrade mirror statistics disagree; exporter-reported and importer-reported values for the same flow differ by a lot. BACI exists to patch this and its patching is a model. | Free API rate limits make a full matrix pull slow. | Entrepôt trade (Netherlands, Singapore, Hong Kong) inflates their betweenness for reasons that have nothing to do with migration.	https://comtradeplus.un.org/	not fetched
imf-portwatch	IMF PortWatch	competing	IMF and Oxford University, from AIS satellite data	port x day, and chokepoint x day, vessel transits	~1,400 ports, 25 maritime chokepoints	January 2019 onward, daily	Daily, with about a two-day lag	Open portal with downloads and an ArcGIS feature service	CSV, GeoJSON	Yes	Free with attribution	Port-to-port trade flow estimates, and a direct daily series for the Strait of Hormuz, Bab el-Mandeb, Suez, Panama and the Bosphorus. This is the dataset for a chokepoint event study.	daily vessel transits by chokepoint and cargo type | port calls and estimated trade volume by port | disruption simulation results	Ships, not people. It answers what a chokepoint closure did to trade and says nothing directly about migration. | Volumes are estimated from AIS vessel characteristics, not manifests. | AIS can be switched off, and is, on sanctioned routes.	https://portwatch.imf.org/	not fetched
lowy-diplomacy	Lowy Institute Global Diplomacy Index	competing	Lowy Institute	sending country x host city, diplomatic post	~110 countries, ~11,000 posts	2016, 2017, 2019, 2021, 2024 editions	Every two to three years	Open interactive site; bulk data needs scraping	Web, JSON behind the visualisation	No official API	Free with attribution	Directed network of embassies and consulates, at city level. Where a country has a consulate is where its nationals can get a visa, so this is a real component of 'how easy is it to get there'.	embassies, consulates general, permanent missions, other posts | host city | network size ranking	110 countries, so most of the sending side of the world is missing. | A post existing is not a post issuing visas; many consulates do no consular work. | Editions are years apart, so closures during a crisis are invisible.	https://globaldiplomacyindex.lowyinstitute.org/	not fetched
unga-voting	UN General Assembly voting data	competing	Erik Voeten, Harvard Dataverse	country x resolution x vote	Global, all member states	1946 onward	Annual updates	Open download	CSV, Stata, R	No	CC0	Country similarity network from vote agreement, plus ideal-point estimates. Tells you whether a migration clique is a political bloc.	vote choice per resolution | ideal point estimates with uncertainty | agreement scores between country pairs | issue codes including human rights	UNGA votes are cheap talk. Agreement there does not imply cooperation on anything costly. | Most resolutions pass by consensus and carry no information. | Ideal points are a one-dimensional summary of a multidimensional thing.	https://dataverse.harvard.edu/dataverse/Voeten	not fetched
wikimedia-clickstream	Wikimedia Clickstream and Pageviews	competing	Wikimedia Foundation	referrer article -> target article, monthly click count; and article x day views	Major language editions	2015 onward, monthly dumps	Monthly	Open dumps, no registration	TSV.gz dumps; REST API for pageviews	Yes for pageviews	CC0	A weighted version of the article-link network in this repo: how many readers actually walked each edge. Turns a link graph into a traffic graph, which changes every centrality on it.	clicks per article pair per month | link type: link, external, other | daily pageviews per article by access method and agent	Counts under ten are dropped from the clickstream for privacy, which removes most edges in a small domain like ours. | Reader attention, not importance. A news cycle moves it. | Bot filtering is imperfect despite the agent field. | One language edition at a time; the English one carries an anglophone readership.	https://dumps.wikimedia.org/other/clickstream/	not fetched
oxcgrt	Oxford COVID-19 Government Response Tracker	events	Blavatnik School of Government, University of Oxford	country (and US state, some subnational) x day x policy indicator	180+ countries	1 January 2020 to 31 December 2022	Closed series, complete	Open on GitHub	CSV	Yes	CC BY	Node attributes at daily resolution. C8 international travel controls is the variable that makes COVID border closure an event study rather than an anecdote.	C8 international travel controls, 0 to 4 | C7 internal movement restrictions | stringency index, containment and health index | school and workplace closure, stay-at-home orders	C8 is a country-level ordinal, so it cannot say which origins were banned. A ban on three countries and a total closure can score the same. | Policy on paper, again. Enforcement varied. | Ends at the close of 2022.	https://github.com/OxCGRT/covid-policy-dataset	not fetched
iom-travel-restrictions	IOM COVID-19 travel and mobility restrictions	events	IOM Displacement Tracking Matrix	country x point in time x restriction type; and point of entry status	Global, ~240 countries and territories, ~7,000 points of entry	March 2020 to 2022	Closed; was updated twice weekly	Open via dtm.iom.int and HDX	CSV, XLSX	Partial	Free with attribution	Directed, and this is the point: IOM recorded which nationalities each country barred, so the COVID border regime is a bilateral network, not a single index.	points of entry fully or partially closed, by air, land and sea | nationality-specific entry bans | exceptions for residents, medical and essential travel | quarantine and testing requirements	Collected from official announcements, so it records the rule on the day it was announced, not the day it took effect. | Point-in-time snapshots rather than a clean daily panel; reconstructing a continuous series needs interpolation. | Stops in 2022.	https://dtm.iom.int/	not fetched
unhcr-operational	UNHCR Operational Data Portal	events	UNHCR	situation x country x date, arrivals and border crossings	Active emergencies: Ukraine, Sudan, Afghanistan, Venezuela, Syria and others	Situation-specific, mostly 2015 onward	Daily to weekly during an emergency	Open portal with downloads and an API	CSV, JSON	Yes	Free with attribution	Origin -> neighbouring country arrivals at daily or weekly resolution. The only place a displacement shock is visible while it happens.	border crossings per day by crossing point | refugees recorded in each neighbouring country | onward movement to third countries | returns to the country of origin	Only where there is an active response. A shock without an emergency declaration leaves no trace here. | Border crossing counts are movements, not people, and include back-and-forth travel, which was large in Ukraine. | Series definitions change as a response matures, and old figures get revised without a changelog. | Portals are archived and sometimes taken down when a situation closes.	https://data.unhcr.org/	not fetched
us-visa-issuance	US monthly immigrant and nonimmigrant visa issuance statistics	events	US Department of State, Bureau of Consular Affairs	month x visa class x nationality x issuing post	United States, all consular posts worldwide	2017 onward monthly; annual back further	Monthly, with about a two-month lag	Open download	PDF and XLSX tables, monthly files	No	US public domain	Origin nationality -> US, monthly, split by visa class and by the consulate that issued it. The sharpest instrument for measuring what a travel ban or a policy change did, and when.	visas issued by class: H-1B, F-1, B1/B2, immigrant preference categories, diversity visa | by nationality and by post | refusals under specific grounds in the annual tables	Issuance, not arrival or stay. Many issued visas are never used. | Published as monthly PDFs and workbooks with inconsistent layouts, so building a panel is a parsing job. | Consular capacity confounds everything. A post that closed issues zero visas whatever the policy says. | One destination.	https://travel.state.gov/content/travel/en/legal/visa-law0/visa-statistics.html	not fetched
wraps	US Refugee Processing Center arrivals (WRAPS)	events	US Department of State Refugee Processing Center	month x nationality x religion x US state of resettlement	United States	2002 onward monthly	Monthly	Open download from the interactive reporting site	XLSX, CSV	No	US public domain	Origin -> US state resettlement flows, monthly. Shows the effect of an admissions ceiling change within weeks.	refugee arrivals by nationality and month | state and city of initial resettlement | religion | resettlement agency | annual presidential determination ceiling	Resettlement is a programme, not migration. The numbers move because the ceiling moved, which is the point but also the limit. | Initial placement only; secondary migration within the US is invisible and is large. | The site's export formats change between administrations.	https://www.wrapsnet.org/admissions-and-arrivals/	not fetched
schengen-visa-stats	Schengen visa statistics by consulate and nationality	events	European Commission, DG Migration and Home Affairs	Schengen state x consulate x applicant nationality x year	All Schengen consulates worldwide	2010 onward	Annual	Open download	XLSX	No	Reuse with attribution	Weighted directed: applications and refusals from every nationality to every Schengen state. The refusal rate is the honest answer to 'how easy is it to get there', far better than the binary visa requirement.	short-stay visa applications, issued, refused | refusal rate by nationality and by consulate | multiple-entry visa share | airport transit visas	Short-stay visas only. Work and study permits are national and are published separately or not at all. | Annual, so it cannot resolve a policy change within a year. | Applications are filtered by expectation. A nationality with a 60% refusal rate also has people who never applied, so the rate understates the barrier. | Consulate workload and appointment scarcity are invisible and are often the real constraint.	https://home-affairs.ec.europa.eu/policies/schengen-borders-and-visa/visa-policy_en	not fetched
mmc-4mi	Mixed Migration Centre 4Mi	events	Mixed Migration Centre, Danish Refugee Council	individual interview with a person on the move, at a route point	West, North and East Africa, Asia, Latin America, Europe	2014 onward, continuous	Continuous, with monthly and quarterly snapshots	Open dashboards and downloadable datasets	CSV, XLSX	Partial	Free with attribution	Multi-step journeys: departure country, every transit country, intended destination. Almost nothing else records the middle of a journey, and betweenness without it is guesswork.	route taken, waypoint by waypoint | cost paid and to whom | duration | smuggler use | protection incidents on route | reason for leaving and for choosing the destination | change of intended destination during the journey	Purposive sampling at accessible route points. It is not representative of people on the move and the publisher says so plainly. | Interviewees who died or were detained are not interviewed, so the sample is conditioned on survival and mobility. | Geographic coverage follows funded programmes. | Self-reported costs and durations.	https://mixedmigration.org/4mi/	not fetched
google-trends	Google Trends migration search interest	events	Google	region x week x search term, relative interest 0-100	Global, at country and subnational level	2004 onward	Daily to weekly	Free web interface; unofficial Python clients	CSV export	No official API	Google terms; no redistribution of raw series	Not a network. A leading indicator: searches for emigration terms move weeks before the movement does, which is how the nowcasting literature detects a shock early.	relative search interest for terms such as 'jobs in Germany', 'asylum application', 'visa sponsorship' | related queries and rising queries | subnational breakdown within a country	Indexed to 100 within the query window, so two pulls are not comparable and the absolute level is unknowable. | Sampled, so repeated identical queries return slightly different series. | Language choice determines the result, which makes cross-country comparison a translation problem. | Search interest is not intent and intent is not migration.	https://trends.google.com/trends/	not fetched
gawc	GaWC world city network	cities	Globalization and World Cities Research Network, Loughborough	city pair, connectivity derived from advanced-producer-service firm offices	~700 cities worldwide	2000, 2004, 2008, 2010, 2012, 2016, 2020 rounds	Every few years	Open data bulletins	XLSX, CSV	No	Free with citation	A weighted inter-city network built from where firms put offices. The reference point for any claim that a city is a hub, and it is already a network, which almost no city data is.	global network connectivity score | alpha, beta, gamma city classification | city-pair connectivity by sector	Measures corporate service networks. A city can be a migration hub and a corporate backwater, and Istanbul, Nairobi and Tijuana are exactly that case. | Firm office lists are the raw input, so it tracks accountancy and law, not people. | Rounds are years apart.	https://www.lboro.ac.uk/gawc/	not fetched
city-foreignborn	City-level foreign-born population	cities	Eurostat Urban Audit; OECD Metropolitan Areas; national statistics offices	city or metropolitan area x year, population by birthplace or citizenship	Europe and OECD in depth; the rest of the world patchy	2000 onward for Urban Audit; varies elsewhere	Annual where it exists	Eurostat database and OECD Data Explorer	TSV, CSV, SDMX	Yes for both	Reuse with attribution	Node attributes on cities. There is no global city-to-city migration matrix, and assembling one from these is the single biggest gap for the hub question.	foreign-born and foreign-national population by city | share of total city population | by broad region of origin where published | metropolitan area definitions that are comparable across countries	No origin detail in most city tables, so you get a node attribute and not an edge. | City boundaries differ between sources; Urban Audit cities, functional urban areas and administrative cities are three different things. | Outside Europe and the OECD this is a collection of incompatible national sources. | IPUMS International is the fallback and gives city-level birthplace at individual level, at the cost of ten-year census rounds.	https://ec.europa.eu/eurostat/web/cities/database	not fetched
travel-time-friction	Global friction surface and travel time to cities	cities	Malaria Atlas Project (Weiss et al.)	1 km raster cell, minutes of travel per metre and time to nearest city	Global land surface	2015 and 2019 surfaces	Occasional	Open download; available through Google Earth Engine	GeoTIFF	Earth Engine	CC BY	Not a network, but it builds one: least-cost paths across it give real land travel times between any two places, which is what 'how easy is it to get there' means on foot and by road.	motorised travel speed per cell from roads, rivers, railways, land cover and slope | accumulated travel time to the nearest city of 50,000+	It assumes you may travel. Borders, checkpoints, minefields and the sea are not modelled as barriers to a migrant. | Road network quality comes from OpenStreetMap, which is uneven. | Static surfaces, so a closed border or a destroyed bridge is invisible.	https://malariaatlas.org/	not fetched
image-internal	IMAGE internal migration around the globe	cities	University of Queensland (Bell, Charles-Edwards, Stillwell and others)	subnational region pair x period, internal migration	~130 countries with comparable internal migration measures	Census rounds, roughly 1990 onward	Static research output	Project repository and published supplementary data	CSV, spatial files	No	Academic use with citation	Subnational origin-destination networks inside countries. Internal migration is several times larger than international migration, and leaving it out makes every hub claim partial.	crude migration intensity | migration effectiveness | aggregate net migration rate | distance decay parameters | origin-destination matrices at the finest available geography	Comparability is the whole research problem: countries use different region sizes and different time intervals, and the measures correct for this imperfectly. | Census-based, so five to ten year intervals. | Not maintained as a live series.	https://imageproject.com.au/	not fetched
un-wpp	UN World Population Prospects	context	UN DESA Population Division	country x year x age x sex, estimates and projections	237 countries and areas	1950-2100 (2024 revision)	Every two years	Open download and an API	CSV, XLSX	Yes	Free with attribution	Node attributes, and the denominator for every rate you will compute.	total population, age structure, median age | net migration rate by country and year | fertility, mortality, dependency ratios | projections under several migration assumptions	Net migration in WPP is the residual that balances the population accounts. It absorbs census error and should never be treated as a migration measurement. | Projections embed a migration assumption, so using them to study migration is circular. | Revisions change history: the same year gets different values across revisions.	https://population.un.org/wpp/	not fetched
vdem	V-Dem Varieties of Democracy	context	V-Dem Institute, University of Gothenburg	country x year, ~500 indicators	202 countries	1789 onward	Annual, each March	Open download; R package	CSV, R, Stata	No	Free for research	Node attributes. The regime-type covariate, and the push-factor measure that ACLED cannot give you.	liberal, electoral, participatory and deliberative democracy indices | civil liberties, freedom of movement, freedom of expression | political violence and repression | exclusion by social group	Expert-coded with measurement-model uncertainty. Use the confidence intervals; most users do not. | Country-year, so it cannot time a shock. | Aggregate indices hide which component moved.	https://v-dem.net/data/the-v-dem-dataset/	not fetched
nd-gain	ND-GAIN Country Index	context	Notre Dame Global Adaptation Initiative	country x year, vulnerability and readiness scores	192 countries	1995 onward	Annual	Open download	CSV	No	Free with attribution	Node attributes. The climate push factor, for the part of the migration story that EM-DAT's ten-death threshold misses.	vulnerability across food, water, health, ecosystems, habitat, infrastructure | readiness: economic, governance, social | exposure, sensitivity and adaptive capacity separately	Composite of composites. The weighting is a choice and results move with it. | Vulnerability and GDP per capita are strongly correlated, so it is partly a restatement of income. | Country-level, while climate exposure is intensely local.	https://gain.nd.edu/our-work/country-index/	not fetched
ocha-fts	UN OCHA Financial Tracking Service	actors	UN Office for the Coordination of Humanitarian Affairs	funding flow: donor organisation -> recipient organisation, with destination country, appeal and sector	Global humanitarian funding	2000 onward	Continuous, reported by donors and agencies	Open, with a documented REST API and no key	JSON, CSV	Yes: api.hpc.tools	Free with attribution	A directed weighted organisation-to-organisation money network, with a country on every edge. This is the real version of what the Wikipedia link network in this repo approximates.	amount committed and paid, in USD | source and destination organisation, typed as government, UN agency, NGO, pooled fund or private | destination country and emergency | sector, including protection and refugee response | appeal coverage against requirements	Voluntary reporting. Coverage of non-Western donors and of local NGOs is poor, so the network looks more Western-centric than it is. | Earmarked pass-through funding creates chains that double count if you sum edges naively. A UN agency receiving and regranting appears twice. | Humanitarian only. Development spending on migration is in the OECD DAC system instead. | Organisation names are not cleanly keyed, so the same NGO appears under several spellings and needs reconciling before it becomes a node.	https://fts.unocha.org/	not fetched
iati	IATI Registry	actors	International Aid Transparency Initiative	aid activity: reporting organisation, participating organisations, recipient country, sector, transactions	~1,500 publishers, millions of activities	2011 onward	Continuous	Open registry, Datastore API, no key for basic use	XML, with CSV and JSON through the Datastore	Yes	Mostly open, per publisher	Funder -> implementer -> recipient country, at activity level. Combined with FTS it gives a full organisational funding network including development as well as humanitarian money.	commitments and disbursements by transaction | participating organisation roles: funding, accountable, extending, implementing | OECD DAC sector codes, including 72010 emergency relief and the migration-relevant codes | recipient country and region | results frameworks where published	Data quality varies by publisher from excellent to unusable. Some publish activities with no transactions at all. | Organisation identifiers are inconsistent despite the standard, so node resolution is most of the work. | Self-reported and unaudited. | XML at scale is awkward; the Datastore is the practical entry point.	https://iatiregistry.org/	not fetched
